Title,Title_URL,Image,text_text_cg3pf,text_text_cg3pf1,User,typography_typography_exx2d,typography_typography_exx2d2
A step-by-step guide to website usability testing,https://www.notion.so/blog/website-usability-testing,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/9yZhGtnlWC5xL5bovUkI7/d6e8e69e0a873836fd7565cacd499232/usability_test_template_thumbnail.png",For Teams,Collect honest feedback from users through website useability testing to discover what’s working for your website and how you can improve.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Optimize productivity and collaboration with a team effectiveness model,https://www.notion.so/blog/team-effectiveness-model,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4DTApqDhZGViIpOPh5aLMi/0b20fbbc7a73249a61e3c697e015c263/team_home_template_thumbnail.png",For Teams,Discover the formula for group synergy with a team effectiveness model and learn how this framework helps create a high-performing powerhouse.,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Maggie Gowland,Marketing
How to create and organize a KPI dashboard,https://www.notion.so/blog/kpi-dashboard,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7LL14AwBaYVdGxxOTLtdi6/63c10c10fede1c3cf5610fe39c0a45f5/objetives_and_key_results_template_thumbnail.png",For Teams,"Effectively use a KPI dashboard to consolidate your metrics, allocate resources efficiently, and make informed decisions for project success.","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Maggie Gowland,Marketing
Turn ideas into reality with an agile engineering design process,https://www.notion.so/blog/engineering-design-process,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7hQo3KuDFpKJ5gFWz191UF/e998773a16704e346176c34b61828365/design_system_template_thumbnail.png",For Teams,"Explore the engineering design process in 11 steps and learn how it fuels innovation, problem-solving, and creativity in engineering and design projects.","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7", Alyssa Zacharias,Marketing
Become an industry leader with an effective brand strategy,https://www.notion.so/blog/brand-strategy,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2QjtCB4Ke8IuQ6qcTZYQlP/f99084a5e1880ca903e6f5f1f7ef797f/brand_strategy_template_thumbnail.png",For Teams,"Establish thought leadership with an effective brand strategy. Read on for actionable tips, best practices, and inspiration from real-world examples.","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7", Alyssa Zacharias,Marketing
The 15 best questions to ask a hiring manager,https://www.notion.so/blog/questions-to-ask-hiring-manager,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1nWsgo0sxYJR2ghIE6M982/9e7e9e7fcc2f9446b72a3b9e1be183b6/interview_kit_template_thumbnail.png",For Teams,Explore our list of the 15 best questions to ask a hiring manager during a job interview to boost your chance of landing your dream job.,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Maggie Gowland,Marketing
Shaping better software: The benefits of effective code documentation,https://www.notion.so/blog/code-documentation,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1SpGCUQQYCAgLcsc5SSVI0/9e83d4394176541cff505047e0614e62/coding_guidelines_template_thumbnail.png",For Teams,Well-written code documentation explains the ins and outs of your software. Here are seven best practices to improve team synergy and user functionality.,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Anabelle Zaluski,Marketing
Turning ideas into effective strategies with a NOISE analysis,https://www.notion.so/blog/noise-analysis,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4WN5xzXeiImOjKMoEAbxbV/00516bdeb767e7cfa770ecd0b7c7160a/noise_analysis_template_thumbnail.png",For Teams,A NOISE analysis ensures your strategic planning makes a loud splash. Follow these seven steps to build a better strategic business plan.,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7", Alyssa Zacharias,Marketing
Using portfolio roadmaps to guide teams toward success,https://www.notion.so/blog/portfolio-roadmap,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/66YvoFdb1meCy57QIGTfvO/bef5d7fb0d8b53c7fb2c98963fc6c0c5/mavens_roadmap_template_thumbanil.png",For Teams,"With a portfolio roadmap, all your projects, products, and initiatives live in one place, keeping every team member on the same road to success.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
How product management and marketing create launch success,https://www.notion.so/blog/product-management-marketing,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2QwushJo2YmlsNRE9nMkWL/25060a11046f41e02656ae099a0913ed/product_management_system_template_thumbnail.png",For Teams,Product management and marketing play distinct yet interrelated roles in a product launch. Understand unique responsibilities and how these functions relate.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to elevate customer satisfaction using a net promoter score,https://www.notion.so/blog/net-promoter-score,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4OxpPkHE7zxxkw9HPz5wNH/624d22906ac3e6c58e775dc6bf59b250/net_promoter_score_template_thumbnail.png",For Teams,Using a net promoter score helps you see how customers think and whether they might promote your brand. Learn to determine NPSs for superior customer satisfaction.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
How to measure takt time versus cycle time for reliable production,https://www.notion.so/blog/takt-time-vs-cycle-time,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6rl3tC4hhBp2fnidoIYDtF/46ba036fc909aa8b9f6bb688ef4779a8/time_tracker_template_thumbnail.png",For Teams,Monitoring team productivity is complex and oft-frustrating work. But learning about takt time versus cycle time can help you streamline team workflows.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
"First Block with Parker Conrad, CEO & Co-Founder of Rippling",https://www.notion.so/blog/first-block-with-parker-conrad,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6huX2TQyT9z7pqMMjv2GFa/8f0934b6c26061cc8733d27ac1bab253/231020_FirstBlockBlogThumbnail2.png",First Block,"On this episode of First Block, Parker Conrad, Co-Founder and CEO of Rippling, discusses the ins and outs of his entrepreneurial journey and what he’s learned along the way.","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Anastasia Crew,Head of Notion for Startups
Inventory management techniques to organize your business operations,https://www.notion.so/blog/inventory-management-techniques,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2nPKB8G5IqKc4ovlxNoUZw/f7302e840835efb09fa6dad306b067e0/small_business_inventory_tracker_template_thumbnail.png",For Teams,"Inventory management techniques can bring order to chaos, helping you boost operations and track your supplies. Here are six methods to consider.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Understanding earned value management to measure project health,https://www.notion.so/blog/earned-value-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/BzQvF5CftoIcD1EN4JDfB/67dcdef5096ba4676eabf1fe9dbf3f75/effort_tracking_template_thumbnail.png",For Teams,Earned value management equips you with the data you need to make informed choices. Learn its core formulas and transform the way you manage projects.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Strategies to create a successful product launch plan,https://www.notion.so/blog/product-launch-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/YUmbuUs6BUHwnSMStZf8R/72dd39809a127e653026a9c241b292df/product_launch_checklist_template_thumbnail.png",For Teams,"Take the stress out of launching any new product. Coordinate your marketing, logistics, and sales in a step-by-step product launch plan.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
How to create a landing page and convert new leads,https://www.notion.so/blog/how-to-create-a-landing-page,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6S06DZurZ3PUG90R6HAaoL/f2d70048627361cd9ad012b8eb0f551e/landing_page_guide_template_thumbnail.png",For Teams,A landing page is your chance to make a great first impression with potential leads. Learn how to create a landing page that drives more business.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to effectively share policies and procedures in a company handbook,https://www.notion.so/blog/company-handbook,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2KpttVdGcsFoeABUM1ELxp/efbfeea587099d90565db75ccfd956b1/company_home_template_thumbnail.png",For Teams,Learn organizational strategies for detailing and sharing your business rules and operations in a clear and comprehensive company handbook.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Business requirements document: An all-in-one guide and helpful tips,https://www.notion.so/blog/business-requirements-document,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6ACLR6uffrOhZmDDbafoip/22589c8f5ca1e9bfca914726af254cdb/business_plan_template_thumbnail.png",For Teams,Learn the key to proposing and executing a successful project and how a business requirements document template can kickstart your planning.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Using a SOAR analysis to enhance your strategic planning,https://www.notion.so/blog/soar-analysis,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1yywexNEWfQ7XIhF0tzN05/6308b7e2ec6e933e709fa5201cf710ed/okrs_and_project_tracker_template_thumbnail.png",For Teams,Learn how to conduct a SOAR analysis using data about your organization and your team’s aspirations about the future to optimize your strategic planning.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to develop a powerful website strategy for greater visibility,https://www.notion.so/blog/website-strategy,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3JkTU3SZU8swpVvhgYwuyI/6a9dd4e39e10115bfe0adfe9da082d33/1000_landing_page_prompts_template_thumbnail.png",For Teams,"Maximize your online impact with a solid website strategy. Learn to set goals, create engaging content, and track your progress more effectively.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Learn how a vendor management system streamlines procurement,https://www.notion.so/blog/vendor-management-system,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4LVcXO5APUju3QjaRuidmF/5dffe96e55e6aba29fc1988adefd9fc5/vendor_management_template_thumbnail.png",For Teams,Optimize vendor relationships with a vendor management system. Find out why VMSs are a powerful procurement tool and how to pick the best platform for you.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
How Notion catalyzed Mitsubishi’s digital transformation,https://www.notion.so/blog/how-notion-catalyzed-mitsubishis-digital-transformation,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/56ngmrKMB1glHAgE3J9ql0/e0e14bb264ac9a01280c7fd1c98135a8/Mitsubishi_Heavy_Industries__ENG_.png",For Teams,A document management tool becomes a tool for communication,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Hirofumi Senjo,Account Manager
A guide to better project financial management,https://www.notion.so/blog/project-financial-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1vAPa28nhN72d4ZnypwEbL/2dddb1977d1ea02d1fa4d7c205a7501f/financial-tracker-template-thumbnail.png",For Teams,Take control of your project's finances with expert tips and best practices. Gain insights into the methods to improve your project financial management.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Condensing ideas like a pro with the Cornell notes method,https://www.notion.so/blog/cornell-notes,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/u3BmDbYnkot9kWiWBOKQu/863003c87f47529e5b72c325db6d7e4b/cornell_note_taking_system_template_thumbnail.png",For Teams,Cornell notes are the ultimate note-taking system for students and professionals. Learn how to retain valuable information with Notion's template.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Using SIPOC diagrams to streamline your process planning,https://www.notion.so/blog/sipoc,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1hxee2xhqNK3bMfAz4TIhF/32b0c219561ff6bc140e139ea5b7d084/standard-operating-procedure-template-thumbnail.png",For Teams,SIPOC diagrams can improve your processes and ensure all your team members are headed toward the same objective. Here’s how to implement one.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Kickstart your creativity with imaginative AI art prompts,https://www.notion.so/blog/ai-art-prompts,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3tK8nokZllLDrT16hbEhn7/72eb55a3509f7b482ce17f9a087f3bda/ai_prompt_library_template_thumbnail.png",For Teams,"Unique AI art prompts can kickstart your creativity. Learn how to use imaginative prompts for original, eye-catching results from AI art programs.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
"Top 8 workflow templates so teams work smarter, not harder",https://www.notion.so/blog/workflow-templates,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4QCS0FK9JEWbKAWioq6Ysj/d0187606da413aa93354e4dd406ebbc7/workflow-templates-thumbnail.png",For Teams,Workflow templates organize and track the projects and tasks of each team member. Check out these eight examples to better organize your next project.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How companies retain top talent through mentorship programs,https://www.notion.so/blog/mentorship-programs,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2b2VbSk7Us7PZo6WW9pL4y/54fe4f7bcd6caae2a13e14d53d135b5d/mentor-mentee-dashboard-template-thumbnail.png",For Teams,"Mentorship programs encourage employee growth, satisfaction, and retention. Learn how to establish a successful program in seven easy steps.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
How to set strategic goals to envision and realize your objectives,https://www.notion.so/blog/strategic-goals,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2zD0scZ41yjBypDacjBavi/7a6271d7abe84c06897a17da331c1ab0/long-term-project-planning-execution-template-thumbnail.png",For Teams,Establishing strategic goals is a reliable way to turn your vision statement into reality. Learn how to create thoughtful goals for concrete results.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
RFI versus RFP versus RFQ: Best use cases for each,https://www.notion.so/blog/rfi-vs-rfp,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1HZ1fkX1GqRrvGMGiIkTR3/c34f2a864a4935cec25de61f681140ad/project-proposal-template-thumbnail.png",For Teams,Understanding the difference between RFI versus RFP versus RFQ can ensure each step of the procurement process is smooth. Here’s when to use them.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Maximizing team efficiency: 6 benefits of work management systems,https://www.notion.so/blog/work-management-system,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1Q9hqtqWihepAUEQmlHfuQ/25b21a89b10caeb57555e49fdd341c37/task-management-table-template-thumbnail.png",For Teams,Discover how a work management system assists leaders in developing effective workflow structures that function at all organizational levels.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
